sample_suffix,object,target_position,reference_image,distractor_object,distractor_position,ref_x0,ref_y0,ref_x1,ref_y1,distractor_x0,distractor_y0,distractor_x1,distractor_y1
ul_red_circle,red circle,upper-left,assets/ume_image_read_distractor_seed29/ul_red_circle.png,blue square,lower-right,64,64,168,168,344,344,448,448
ur_red_circle,red circle,upper-right,assets/ume_image_read_distractor_seed29/ur_red_circle.png,blue square,lower-left,344,64,448,168,64,344,168,448
ll_red_circle,red circle,lower-left,assets/ume_image_read_distractor_seed29/ll_red_circle.png,blue square,upper-right,64,344,168,448,344,64,448,168
lr_red_circle,red circle,lower-right,assets/ume_image_read_distractor_seed29/lr_red_circle.png,blue square,upper-left,344,344,448,448,64,64,168,168
ul_blue_square,blue square,upper-left,assets/ume_image_read_distractor_seed29/ul_blue_square.png,yellow triangle,lower-right,64,64,168,168,344,344,448,448
ur_blue_square,blue square,upper-right,assets/ume_image_read_distractor_seed29/ur_blue_square.png,yellow triangle,lower-left,344,64,448,168,64,344,168,448
ll_blue_square,blue square,lower-left,assets/ume_image_read_distractor_seed29/ll_blue_square.png,yellow triangle,upper-right,64,344,168,448,344,64,448,168
lr_blue_square,blue square,lower-right,assets/ume_image_read_distractor_seed29/lr_blue_square.png,yellow triangle,upper-left,344,344,448,448,64,64,168,168
ul_yellow_triangle,yellow triangle,upper-left,assets/ume_image_read_distractor_seed29/ul_yellow_triangle.png,red circle,lower-right,64,64,168,168,344,344,448,448
ur_yellow_triangle,yellow triangle,upper-right,assets/ume_image_read_distractor_seed29/ur_yellow_triangle.png,red circle,lower-left,344,64,448,168,64,344,168,448
ll_yellow_triangle,yellow triangle,lower-left,assets/ume_image_read_distractor_seed29/ll_yellow_triangle.png,red circle,upper-right,64,344,168,448,344,64,448,168
lr_yellow_triangle,yellow triangle,lower-right,assets/ume_image_read_distractor_seed29/lr_yellow_triangle.png,red circle,upper-left,344,344,448,448,64,64,168,168
