sample_suffix,object,target_position,reference_image,margin_px,shape_size,center_x,center_y,distractor_object,distractor_position,ref_x0,ref_y0,ref_x1,ref_y1,distractor_x0,distractor_y0,distractor_x1,distractor_y1
m008_ul_red_circle,red circle,upper-left,assets/ume_image_read_margin_single_object_seed34/m008_ul_red_circle.png,8,64,256,256,,,184,184,248,248,,,,
m008_ur_red_circle,red circle,upper-right,assets/ume_image_read_margin_single_object_seed34/m008_ur_red_circle.png,8,64,256,256,,,264,184,328,248,,,,
m008_ll_red_circle,red circle,lower-left,assets/ume_image_read_margin_single_object_seed34/m008_ll_red_circle.png,8,64,256,256,,,184,264,248,328,,,,
m008_lr_red_circle,red circle,lower-right,assets/ume_image_read_margin_single_object_seed34/m008_lr_red_circle.png,8,64,256,256,,,264,264,328,328,,,,
m008_ul_blue_square,blue square,upper-left,assets/ume_image_read_margin_single_object_seed34/m008_ul_blue_square.png,8,64,256,256,,,184,184,248,248,,,,
m008_ur_blue_square,blue square,upper-right,assets/ume_image_read_margin_single_object_seed34/m008_ur_blue_square.png,8,64,256,256,,,264,184,328,248,,,,
m008_ll_blue_square,blue square,lower-left,assets/ume_image_read_margin_single_object_seed34/m008_ll_blue_square.png,8,64,256,256,,,184,264,248,328,,,,
m008_lr_blue_square,blue square,lower-right,assets/ume_image_read_margin_single_object_seed34/m008_lr_blue_square.png,8,64,256,256,,,264,264,328,328,,,,
m008_ul_yellow_triangle,yellow triangle,upper-left,assets/ume_image_read_margin_single_object_seed34/m008_ul_yellow_triangle.png,8,64,256,256,,,184,184,248,248,,,,
m008_ur_yellow_triangle,yellow triangle,upper-right,assets/ume_image_read_margin_single_object_seed34/m008_ur_yellow_triangle.png,8,64,256,256,,,264,184,328,248,,,,
m008_ll_yellow_triangle,yellow triangle,lower-left,assets/ume_image_read_margin_single_object_seed34/m008_ll_yellow_triangle.png,8,64,256,256,,,184,264,248,328,,,,
m008_lr_yellow_triangle,yellow triangle,lower-right,assets/ume_image_read_margin_single_object_seed34/m008_lr_yellow_triangle.png,8,64,256,256,,,264,264,328,328,,,,
m024_ul_red_circle,red circle,upper-left,assets/ume_image_read_margin_single_object_seed34/m024_ul_red_circle.png,24,64,256,256,,,168,168,232,232,,,,
m024_ur_red_circle,red circle,upper-right,assets/ume_image_read_margin_single_object_seed34/m024_ur_red_circle.png,24,64,256,256,,,280,168,344,232,,,,
m024_ll_red_circle,red circle,lower-left,assets/ume_image_read_margin_single_object_seed34/m024_ll_red_circle.png,24,64,256,256,,,168,280,232,344,,,,
m024_lr_red_circle,red circle,lower-right,assets/ume_image_read_margin_single_object_seed34/m024_lr_red_circle.png,24,64,256,256,,,280,280,344,344,,,,
m024_ul_blue_square,blue square,upper-left,assets/ume_image_read_margin_single_object_seed34/m024_ul_blue_square.png,24,64,256,256,,,168,168,232,232,,,,
m024_ur_blue_square,blue square,upper-right,assets/ume_image_read_margin_single_object_seed34/m024_ur_blue_square.png,24,64,256,256,,,280,168,344,232,,,,
m024_ll_blue_square,blue square,lower-left,assets/ume_image_read_margin_single_object_seed34/m024_ll_blue_square.png,24,64,256,256,,,168,280,232,344,,,,
m024_lr_blue_square,blue square,lower-right,assets/ume_image_read_margin_single_object_seed34/m024_lr_blue_square.png,24,64,256,256,,,280,280,344,344,,,,
m024_ul_yellow_triangle,yellow triangle,upper-left,assets/ume_image_read_margin_single_object_seed34/m024_ul_yellow_triangle.png,24,64,256,256,,,168,168,232,232,,,,
m024_ur_yellow_triangle,yellow triangle,upper-right,assets/ume_image_read_margin_single_object_seed34/m024_ur_yellow_triangle.png,24,64,256,256,,,280,168,344,232,,,,
m024_ll_yellow_triangle,yellow triangle,lower-left,assets/ume_image_read_margin_single_object_seed34/m024_ll_yellow_triangle.png,24,64,256,256,,,168,280,232,344,,,,
m024_lr_yellow_triangle,yellow triangle,lower-right,assets/ume_image_read_margin_single_object_seed34/m024_lr_yellow_triangle.png,24,64,256,256,,,280,280,344,344,,,,
m048_ul_red_circle,red circle,upper-left,assets/ume_image_read_margin_single_object_seed34/m048_ul_red_circle.png,48,64,256,256,,,144,144,208,208,,,,
m048_ur_red_circle,red circle,upper-right,assets/ume_image_read_margin_single_object_seed34/m048_ur_red_circle.png,48,64,256,256,,,304,144,368,208,,,,
m048_ll_red_circle,red circle,lower-left,assets/ume_image_read_margin_single_object_seed34/m048_ll_red_circle.png,48,64,256,256,,,144,304,208,368,,,,
m048_lr_red_circle,red circle,lower-right,assets/ume_image_read_margin_single_object_seed34/m048_lr_red_circle.png,48,64,256,256,,,304,304,368,368,,,,
m048_ul_blue_square,blue square,upper-left,assets/ume_image_read_margin_single_object_seed34/m048_ul_blue_square.png,48,64,256,256,,,144,144,208,208,,,,
m048_ur_blue_square,blue square,upper-right,assets/ume_image_read_margin_single_object_seed34/m048_ur_blue_square.png,48,64,256,256,,,304,144,368,208,,,,
m048_ll_blue_square,blue square,lower-left,assets/ume_image_read_margin_single_object_seed34/m048_ll_blue_square.png,48,64,256,256,,,144,304,208,368,,,,
m048_lr_blue_square,blue square,lower-right,assets/ume_image_read_margin_single_object_seed34/m048_lr_blue_square.png,48,64,256,256,,,304,304,368,368,,,,
m048_ul_yellow_triangle,yellow triangle,upper-left,assets/ume_image_read_margin_single_object_seed34/m048_ul_yellow_triangle.png,48,64,256,256,,,144,144,208,208,,,,
m048_ur_yellow_triangle,yellow triangle,upper-right,assets/ume_image_read_margin_single_object_seed34/m048_ur_yellow_triangle.png,48,64,256,256,,,304,144,368,208,,,,
m048_ll_yellow_triangle,yellow triangle,lower-left,assets/ume_image_read_margin_single_object_seed34/m048_ll_yellow_triangle.png,48,64,256,256,,,144,304,208,368,,,,
m048_lr_yellow_triangle,yellow triangle,lower-right,assets/ume_image_read_margin_single_object_seed34/m048_lr_yellow_triangle.png,48,64,256,256,,,304,304,368,368,,,,
m088_ul_red_circle,red circle,upper-left,assets/ume_image_read_margin_single_object_seed34/m088_ul_red_circle.png,88,64,256,256,,,104,104,168,168,,,,
m088_ur_red_circle,red circle,upper-right,assets/ume_image_read_margin_single_object_seed34/m088_ur_red_circle.png,88,64,256,256,,,344,104,408,168,,,,
m088_ll_red_circle,red circle,lower-left,assets/ume_image_read_margin_single_object_seed34/m088_ll_red_circle.png,88,64,256,256,,,104,344,168,408,,,,
m088_lr_red_circle,red circle,lower-right,assets/ume_image_read_margin_single_object_seed34/m088_lr_red_circle.png,88,64,256,256,,,344,344,408,408,,,,
m088_ul_blue_square,blue square,upper-left,assets/ume_image_read_margin_single_object_seed34/m088_ul_blue_square.png,88,64,256,256,,,104,104,168,168,,,,
m088_ur_blue_square,blue square,upper-right,assets/ume_image_read_margin_single_object_seed34/m088_ur_blue_square.png,88,64,256,256,,,344,104,408,168,,,,
m088_ll_blue_square,blue square,lower-left,assets/ume_image_read_margin_single_object_seed34/m088_ll_blue_square.png,88,64,256,256,,,104,344,168,408,,,,
m088_lr_blue_square,blue square,lower-right,assets/ume_image_read_margin_single_object_seed34/m088_lr_blue_square.png,88,64,256,256,,,344,344,408,408,,,,
m088_ul_yellow_triangle,yellow triangle,upper-left,assets/ume_image_read_margin_single_object_seed34/m088_ul_yellow_triangle.png,88,64,256,256,,,104,104,168,168,,,,
m088_ur_yellow_triangle,yellow triangle,upper-right,assets/ume_image_read_margin_single_object_seed34/m088_ur_yellow_triangle.png,88,64,256,256,,,344,104,408,168,,,,
m088_ll_yellow_triangle,yellow triangle,lower-left,assets/ume_image_read_margin_single_object_seed34/m088_ll_yellow_triangle.png,88,64,256,256,,,104,344,168,408,,,,
m088_lr_yellow_triangle,yellow triangle,lower-right,assets/ume_image_read_margin_single_object_seed34/m088_lr_yellow_triangle.png,88,64,256,256,,,344,344,408,408,,,,
