sample_suffix,object,target_position,reference_image,distractor_object,distractor_position,ref_x0,ref_y0,ref_x1,ref_y1,distractor_x0,distractor_y0,distractor_x1,distractor_y1
ul_red_circle,red circle,upper-left,assets/ume_image_read_near_single_object_seed33/ul_red_circle.png,,,168,168,232,232,,,,
ur_red_circle,red circle,upper-right,assets/ume_image_read_near_single_object_seed33/ur_red_circle.png,,,280,168,344,232,,,,
ll_red_circle,red circle,lower-left,assets/ume_image_read_near_single_object_seed33/ll_red_circle.png,,,168,280,232,344,,,,
lr_red_circle,red circle,lower-right,assets/ume_image_read_near_single_object_seed33/lr_red_circle.png,,,280,280,344,344,,,,
ul_blue_square,blue square,upper-left,assets/ume_image_read_near_single_object_seed33/ul_blue_square.png,,,168,168,232,232,,,,
ur_blue_square,blue square,upper-right,assets/ume_image_read_near_single_object_seed33/ur_blue_square.png,,,280,168,344,232,,,,
ll_blue_square,blue square,lower-left,assets/ume_image_read_near_single_object_seed33/ll_blue_square.png,,,168,280,232,344,,,,
lr_blue_square,blue square,lower-right,assets/ume_image_read_near_single_object_seed33/lr_blue_square.png,,,280,280,344,344,,,,
ul_yellow_triangle,yellow triangle,upper-left,assets/ume_image_read_near_single_object_seed33/ul_yellow_triangle.png,,,168,168,232,232,,,,
ur_yellow_triangle,yellow triangle,upper-right,assets/ume_image_read_near_single_object_seed33/ur_yellow_triangle.png,,,280,168,344,232,,,,
ll_yellow_triangle,yellow triangle,lower-left,assets/ume_image_read_near_single_object_seed33/ll_yellow_triangle.png,,,168,280,232,344,,,,
lr_yellow_triangle,yellow triangle,lower-right,assets/ume_image_read_near_single_object_seed33/lr_yellow_triangle.png,,,280,280,344,344,,,,
