sample_suffix,object,target_position,reference_image,ref_x0,ref_y0,ref_x1,ref_y1
ul_red_circle,red circle,upper-left,assets/ume_image_read_simple_seed23/ul_red_circle.png,64,64,176,176
ur_red_circle,red circle,upper-right,assets/ume_image_read_simple_seed23/ur_red_circle.png,336,64,448,176
ll_red_circle,red circle,lower-left,assets/ume_image_read_simple_seed23/ll_red_circle.png,64,336,176,448
lr_red_circle,red circle,lower-right,assets/ume_image_read_simple_seed23/lr_red_circle.png,336,336,448,448
ul_blue_square,blue square,upper-left,assets/ume_image_read_simple_seed23/ul_blue_square.png,64,64,176,176
ur_blue_square,blue square,upper-right,assets/ume_image_read_simple_seed23/ur_blue_square.png,336,64,448,176
ll_blue_square,blue square,lower-left,assets/ume_image_read_simple_seed23/ll_blue_square.png,64,336,176,448
lr_blue_square,blue square,lower-right,assets/ume_image_read_simple_seed23/lr_blue_square.png,336,336,448,448
ul_yellow_triangle,yellow triangle,upper-left,assets/ume_image_read_simple_seed23/ul_yellow_triangle.png,64,64,176,176
ur_yellow_triangle,yellow triangle,upper-right,assets/ume_image_read_simple_seed23/ur_yellow_triangle.png,336,64,448,176
ll_yellow_triangle,yellow triangle,lower-left,assets/ume_image_read_simple_seed23/ll_yellow_triangle.png,64,336,176,448
lr_yellow_triangle,yellow triangle,lower-right,assets/ume_image_read_simple_seed23/lr_yellow_triangle.png,336,336,448,448
